"","ID","Ptt","HistType","Date","Time.Offset","Count","NumBins","Sum","0-1 m","1-2 m","2-4 m","4-5 m","5-6 m","6-10 m","10-20 m","20-50 m","50-100 m","100-200 m","200-300 m","300-500 m","500-700 m",">700 m"
"110",229408,128155,"TAD",42227,28,10,9,100,9,42.6,47.5,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"111",229409,128155,"TAD",42227.25,28,10,9,100,13,51.6,35.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"112",229410,128155,"TAD",42227.5,28,4,9,100,13,66.4,20,0,0,0,0,0,0,NA,NA,NA,NA,NA
"113",229411,128155,"TAD",42227.75,28,18,9,100,17,71.5,11,0,0,0,0,0,0,NA,NA,NA,NA,NA
"114",229412,128155,"TAD",42228,28,12,9,100,20,66,13.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"115",229413,128155,"TAD",42228.25,28,13,9,100,13,43,43.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"116",229414,128155,"TAD",42228.5,28,12,9,100,12,31.2,56.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"117",229415,128155,"TAD",42228.75,28,10,9,100,12,28.8,56.8,1.6,0,0,0,0,0,NA,NA,NA,NA,NA
"118",229416,128155,"TAD",42229,28,5,9,100,21,62.7,15.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"119",229417,128155,"TAD",42229.25,28,9,9,100,17,38.2,44,0,0,0,0,0,0,NA,NA,NA,NA,NA
"120",229418,128155,"TAD",42229.5,28,12,9,100,10,55.3,34,0,0,0,0,0,0,NA,NA,NA,NA,NA
"121",229419,128155,"TAD",42229.75,28,11,9,100,12,48.6,39.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"122",229420,128155,"TAD",42230,28,7,9,100,14,77.3,7.8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"123",229421,128155,"TAD",42230.25,28,8,9,100,11,70,18.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"124",229422,128155,"TAD",42230.5,28,14,9,100,15,65,19.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
